IncidentNumber,IncidentDate,Exposures,Patients,IncidentTime,Address,Latitude,Longitude,StationNumber,IncidentType,Complete,Reviewed,RunNumber,Imported
2013-1305134,2013-09-13,1,0,20:28:25,268 BAYPOINT DR SAN RAFAEL CA 94901,37.9606,-122.4921,54,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1300535,2013-08-27,1,0,13:11:44,1000 CABRO NOVATO CA 94945,38.0968,-122.609,,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1304562,2013-08-16,1,0,14:38:16,720 LINCOLN AVE SAN RAFAEL CA 94901,37.968,-122.5226,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2013-1303861,2013-07-11,1,0,17:45:33,22 RED ROCK WY San Rafael CA 94903,37.9892,-122.5331,57,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1303814,2013-07-09,1,0,13:34:40,21 MARIAN CT San Rafael CA 94901,37.9666,-122.5015,54,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1303733,2013-07-04,1,0,21:28:48,234 N SAN PEDRO RD San Rafael CA 94903,38.0027,-122.5207,57,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1303730,2013-07-04,1,0,19:37:16,600 FRANCISCO W SAN RAFAEL CA 94901,37.9632,-122.514,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2013-1303719,2013-07-04,1,0,11:52:25,17 BAYPOINT VILLAGE DR SAN RAFAEL CA 94901,37.9608,-122.497,54,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1303708,2013-07-03,1,0,18:27:18,600 FRANCISCO W SAN RAFAEL CA 94901,37.9632,-122.514,54,143 - Grass fire,TRUE,TRUE,,TRUE
2015-1504008,2015-06-26,1,0,15:18:38,125 SHORELINE SAN RAFAEL CA 94901,37.9552,-122.4913,54,143 - Grass fire,TRUE,TRUE,,TRUE
2015-1503891,2015-06-20,1,0,22:37:34,438 FRANCISCO W SAN RAFAEL CA 94901,37.9656,-122.5162,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2015-1503847,2015-06-18,1,0,20:08:51,2500 DEER VALLEY RD San Rafael CA 94903,38.0215,-122.5303,,143 - Grass fire,TRUE,TRUE,,TRUE
2015-1503340,2015-05-28,1,0,11:56:05,201 CANTERA San Rafael CA 94901,37.9923,-122.4528,55,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2015-1503059,2015-05-15,1,0,16:42:37,200 SMITH RANCH RD SAN RAFAEL CA 94903,38.0193,-122.5336,,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2015-1503001,2015-05-12,1,0,17:20:23,3501 CIVIC CENTER DR SAN RAFAEL CA 94903,37.9977,-122.5304,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2015-1502991,2015-05-12,1,0,12:42:49,330 BELLAM SAN RAFAEL CA 94901,37.9613,-122.5001,54,143 - Grass fire,TRUE,TRUE,,TRUE
2015-1502953,2015-05-11,1,0,2:56:32,240 FRANCISCO W SAN RAFAEL CA 94901,37.9697,-122.523,52,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2015-1502894,2015-05-07,1,0,23:06:21,43 COTTONWOOD DR SAN RAFAEL CA 94901,37.987,-122.4787,55,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2015-1502090,2015-03-31,1,0,19:06:13,612 PT GALLINAS RD SANTA VENICIA CA 94903,38.0134,-122.5076,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2015-1500154,2015-01-07,1,0,14:01:07,23 AQUINAS DR SAN RAFAEL CA 94901,37.986,-122.5176,52,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2014-1405472,2014-09-16,1,0,19:05:37,1045 LAS OVEJAS AVE SAN RAFAEL CA 94903,38.0171,-122.5669,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2014-1405091,2014-08-30,1,0,12:44:56,1600 N SAN PEDRO RD San Rafael CA 94901,37.9955,-122.4573,55,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2014-1404919,2014-08-23,1,0,15:21:04,599 WILLIAM AVE LARKSPUR CA 94939,37.9362,-122.5243,,143 - Grass fire,TRUE,TRUE,,TRUE
2014-1404689,2014-08-12,1,0,14:20:09,110 CIRCLE RD San Rafael CA 94903,37.9918,-122.5438,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2014-1404618,2014-08-08,1,0,16:05:17,1385 FRANCISCO E SAN RAFAEL CA 94904,37.9543,-122.4985,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2014-1404542,2014-07-31,1,0,21:14:08,33 CASTLE ROCK AVE WOODACRE CA 94973,38.007,-122.6358,1,"141 - Forest, woods or wildland fire",TRUE,TRUE,,TRUE
2014-1404268,2014-07-23,1,0,14:44:55,280 WOODLAND AVE SAN RAFAEL CA 94901,37.9659,-122.5249,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2014-1404174,2014-07-19,1,0,9:56:53,81 PROFESSIONAL CENTE SAN RAFAEL CA 94903,38.0103,-122.5385,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2014-1403887,2014-07-05,1,0,16:14:32,52 PARK RIDGE RD San Rafael CA 94903,38.0158,-122.5512,,143 - Grass fire,TRUE,TRUE,,TRUE
2014-1400500,2014-07-05,1,0,16:14:32,52 PARK RIDGE RD San Rafael CA 94903,38.0158,-122.5512,8,143 - Grass fire,TRUE,TRUE,,TRUE
2014-1403812,2014-07-02,2,0,16:16:14,33 CASTLE ROCK AVE WOODACRE CA 94973,38.007,-122.6358,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2016-7503753,2016-06-15,1,0,11:07:39,Inverness DR San Rafael CA 94901,37.9803,-122.4858,55,"140 - Natural vegetation fire, other",TRUE,FALSE,SN-F16016187,FALSE
2016-7503739,2016-06-15,1,0,1:13:54,400 Merrydale RD San Rafael CA 94903 Scettrini Overpass,38.001,-122.5422,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16016144,FALSE
2016-7503735,2016-06-14,1,0,17:23:00,75 Inverness DR San Rafael CA 94901,37.9786,-122.4868,55,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16016118,FALSE
2016-7503734,2016-06-14,1,0,17:20:00,25 W CASTLEWOOD DR San Rafael CA 94901,37.9833,-122.4787,55,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16016117,FALSE
2016-7503642,2016-06-10,1,0,18:09:57,620 DU BOIS ST San Rafael CA 94901,37.9668,-122.5188,51,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16015769,FALSE
2016-7503641,2016-06-10,1,0,17:21:59,471 THIRD ST San Rafael CA 94901,37.9707,-122.5186,52,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16015762,FALSE
2016-8000615,2016-06-03,1,0,16:05:23,Marin Valley Drive Novato CA 94949,38.0508,-122.53,58,"140 - Natural vegetation fire, other",TRUE,TRUE,MW-F16015048,FALSE
2016-7503384,2016-05-31,1,0,2:58:45,Anderson DR San Rafael CA 94901,37.9688,-122.5264,51,143 - Grass fire,TRUE,TRUE,SN-F16014705,FALSE
2016-7503323,2016-05-27,1,0,18:47:07,306 POINT SAN PEDRO RD San Rafael CA 94901,37.9739,-122.4975,52,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16014408,FALSE
2016-7503238,2016-05-23,1,0,19:55:03,600 FRANCISCO BLVD W San Rafael CA 94901,37.9632,-122.5141,54,143 - Grass fire,TRUE,TRUE,SN-F16014025,FALSE
